slice_name,method,phi_dim,arch,z_dim,z_s_fraction,x_dim,s_dim,alpha,delta,n,learner,y_type,finetune,trial_seed,dgp_seed,encoder_key,epochs_run,lambda_loss_s,num_observational,cate_regressor,error,diag_r2_phi_s,diag_r2_phi_s_x,diag_r2_gap,diag_r2_xs_resid_mean,diag_r2_xs_resid_max,mse,pehe,pehe_norm,spearman_rho,pearson_r,abs_regret,norm_regret,auuc,topk_10_value,topk_10_norm,policy_value_10,policy_norm_10,topk_20_value,topk_20_norm,policy_value_20,policy_norm_20,topk_50_value,topk_50_norm,policy_value_50,policy_norm_50,source_file,array_task_id,run_seed,run_timestamp
paper_main,encoder_pred,10,medium,10,0.5,1000,10,0.0,0.0,50,x_learner,h_y,frozen,1000,42,046578539f5ee11f7116ae6569884826,46,2.0,10000,histgbr,,,,,,,94.76403228748806,9.73468193047354,1.140918392259503,,,4.18165532335639,1.0,0.34797928024695096,0.055035971105098724,0.0034625721471717103,0.055035971105098724,-0.08254628099365453,3.3721976280212402,0.24323988836297059,3.3721976280212402,0.16739904215110338,3.0157582759857178,0.3607807703413899,3.0157582759857178,0.2470254746399303,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
paper_main,encoder_pred,10,medium,10,0.5,1000,10,0.0,0.0,50,x_learner,true_y,frozen,1000,42,046578539f5ee11f7116ae6569884826,46,2.0,10000,histgbr,,,,,,,80.2276457883661,8.956988656259764,1.0497716484394048,,,4.18165532335639,1.0,0.15285374697406984,-2.9640867710113525,-0.18648465883348803,-2.9640867710113525,-0.28888742055948674,0.6451618075370789,0.046536147447993795,0.6451618075370789,-0.049017918230159226,1.5000501871109009,0.17945379321879704,1.5000501871109009,0.03342959360427994,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
paper_main,encoder_pred,10,medium,10,0.5,1000,10,0.0,0.0,50,dml_learner,h_y,frozen,1000,42,046578539f5ee11f7116ae6569884826,46,2.0,10000,histgbr,,,,,,,329.70298848390047,18.157725311390205,2.1281109046316065,-0.06525810324129651,-0.08490807139512761,3.4055707049369808,0.8144073199709613,0.16470884685167803,-3.773608684539795,-0.2374154950488782,-3.773608684539795,-0.3442139800964057,-0.5198711156845093,-0.03749880822270613,-0.5198711156845093,-0.14147467369109373,1.9276304244995117,0.23060601210059575,1.9276304244995117,0.09368484868195856,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
paper_main,encoder_pred,10,medium,10,0.5,1000,10,0.0,0.0,50,dml_learner,true_y,frozen,1000,42,046578539f5ee11f7116ae6569884826,46,2.0,10000,histgbr,,,,,,,260.32544369828696,16.134603921332776,1.8909982367318499,0.40734693877551015,0.3849544082372689,2.285085864663124,0.5464548576971209,0.5435394299219274,5.517571926116943,0.3471364361847181,5.517571926116943,0.2907892837228462,5.4952311515808105,0.39637635728472065,5.4952311515808105,0.3358825136570665,3.8514766693115234,0.4607593157485154,3.8514766693115234,0.3647961772114507,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
paper_main,mi_mine_cond,10,medium,10,0.5,1000,10,0.0,0.0,50,x_learner,h_y,frozen,1000,42,170fb0fe08485992dcf5ba3960c91803,16,2.0,10000,histgbr,,,,,,,85.66572077428268,9.255577819578996,1.084766717676733,,,4.18165532335639,1.0,0.0612203604761328,-0.13656464219093323,-0.00859192482378108,-0.13656464219093323,-0.09564117387015311,-2.2460646629333496,-0.16201082443335374,-2.2460646629333496,-0.2784650123288231,-0.474185973405838,-0.056727749744638435,-0.474185973405838,-0.24478275821542456,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
paper_main,mi_mine_cond,10,medium,10,0.5,1000,10,0.0,0.0,50,x_learner,true_y,frozen,1000,42,170fb0fe08485992dcf5ba3960c91803,16,2.0,10000,histgbr,,,,,,,80.2276457883661,8.956988656259764,1.0497716484394048,,,4.18165532335639,1.0,0.25829732861561805,7.291219234466553,0.4587249417653614,7.291219234466553,0.4120087365418377,6.381387710571289,0.4602956900930529,6.381387710571289,0.40620770244926563,1.1209995746612549,0.13410726360900593,1.1209995746612549,-0.01998679317728577,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
paper_main,mi_mine_cond,10,medium,10,0.5,1000,10,0.0,0.0,50,dml_learner,h_y,frozen,1000,42,170fb0fe08485992dcf5ba3960c91803,16,2.0,10000,histgbr,,,,,,,273.24532838648645,16.53013394944174,1.9373549114525497,0.0018727490996398558,-0.010189252348834634,3.4024778801202773,0.8136677026238718,0.21795972723998513,-2.504368782043457,-0.1575616349966913,-2.504368782043457,-0.25746811706470707,1.0437977313995361,0.07529014359936141,1.0437977313995361,-0.017382259360899238,2.0072243213653564,0.2401279779870515,2.0072243213653564,0.10490134125787494,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
paper_main,mi_mine_cond,10,medium,10,0.5,1000,10,0.0,0.0,50,dml_learner,true_y,frozen,1000,42,170fb0fe08485992dcf5ba3960c91803,16,2.0,10000,histgbr,,,,,,,234.7003278072376,15.319932369538634,1.7955175868522792,0.0954141656662665,0.08275164346661158,3.5338959270715713,0.84509498124659,0.29381092199434894,-1.919650673866272,-0.12077426494275056,-1.919650673866272,-0.21750571372052258,3.451629161834717,0.24896936200257658,3.451629161834717,0.17370271113014968,2.0072243213653564,0.2401279779870515,2.0072243213653564,0.10490134125787494,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
paper_main,mi_infonce_cond,10,medium,10,0.5,1000,10,0.0,0.0,50,x_learner,h_y,frozen,1000,42,0a7d44039a1dfc1e2ce0c5895278fca7,34,2.0,10000,histgbr,,,,,,,82.06857549885407,9.059170795324155,1.0617475386278696,,,4.18165532335639,1.0,0.29805999827886526,-3.4801101684570312,-0.21895012110128823,-3.4801101684570312,-0.32415490219785553,-1.6288379430770874,-0.11748966197687684,-1.6288379430770874,-0.22948203617060245,3.228041648864746,0.38617662497862243,3.228041648864746,0.27694076927491224,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
paper_main,mi_infonce_cond,10,medium,10,0.5,1000,10,0.0,0.0,50,x_learner,true_y,frozen,1000,42,0a7d44039a1dfc1e2ce0c5895278fca7,34,2.0,10000,histgbr,,,,,,,80.2276457883661,8.956988656259764,1.0497716484394048,,,4.18165532335639,1.0,0.01848133477684213,-0.9532961845397949,-0.05997635274371953,-0.9532961845397949,-0.15146047356827835,-2.776315927505493,-0.20025836287152496,-2.776315927505493,-0.3205456355663463,-0.03235061466693878,-0.0038701641883883246,-0.03235061466693878,-0.1825186498325259,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
paper_main,mi_infonce_cond,10,medium,10,0.5,1000,10,0.0,0.0,50,dml_learner,h_y,frozen,1000,42,0a7d44039a1dfc1e2ce0c5895278fca7,34,2.0,10000,histgbr,,,,,,,188.16404357353636,13.717289950042478,1.607685644763393,0.2680912364945978,0.2672424844472074,2.4035977292060853,0.5747957551118409,0.43886545347916234,2.566377639770508,0.1614629042817122,2.566377639770508,0.08909069637160415,6.766467094421387,0.48807183985374814,6.766467094421387,0.43676751729743724,4.122774600982666,0.49321519179128226,4.122774600982666,0.4030278929117113,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
paper_main,mi_infonce_cond,10,medium,10,0.5,1000,10,0.0,0.0,50,dml_learner,true_y,frozen,1000,42,0a7d44039a1dfc1e2ce0c5895278fca7,34,2.0,10000,histgbr,,,,,,,151.84024447299927,12.322347360507221,1.4441964144101362,0.3669147659063625,0.37373021960017405,1.9269872474670406,0.4608192446431361,0.5184710227843179,5.458705425262451,0.3434328673702243,5.458705425262451,0.2867660684030033,6.766467094421387,0.48807183985374814,6.766467094421387,0.43676751729743724,4.509336471557617,0.539460307177745,4.509336471557617,0.45750277757208146,paper_main_20260902_002859/task0_seed1000/results.parquet,0,1000,20260902_002859
